Name,Rating,Reviews,Jobs,Interviews,Salaries
ESAF Small Finance Bank,3.6,2.7k,34,150,7.3k
Landmark Group,3.9,2.6k,11,165,9k
Shree Cement,3.8,2.6k,--,190,9.5k
Flex,3.9,2.6k,62,207,15.9k
Britannia,4.0,2.6k,3,210,8k
Capita,3.5,2.6k,48,161,13k
Blue Dart Express Ltd,3.9,2.6k,1,120,6.7k
SRF,4.1,2.6k,13,203,8.6k
Ola Electric Mobility,3.3,2.6k,--,274,8.7k
ElasticRun,3.6,2.6k,13,265,6.1k
Shell,3.9,2.6k,22,224,13.5k
Exide Industries,3.4,2.6k,66,200,8.3k
Micro Labs,3.6,2.5k,17,143,9.5k
Kansai Nerolac Paints,3.8,2.5k,66,182,7.5k
KPMG Global Services,3.5,2.5k,--,242,22.9k
Dalmia Bharat Cement,3.9,2.5k,2,181,8.3k
Sahrudaya Healthcare (Medicover Hospitals),4.5,2.5k,31,136,3.3k
TVS Supply Chain Solutions,3.8,2.5k,10,146,8.3k
Sagility,3.9,2.5k,35,224,10.2k
G4S,4.0,2.5k,390,123,5k
Nestle,3.8,2.5k,18,268,9.4k
Bharat Financial Inclusion,3.8,2.5k,2,108,4.7k
BlackBuck,3.7,2.5k,14,203,6.1k
KFintech,3.4,2.5k,2,164,10.9k
GATI-KWE,3.9,2.5k,5,94,4.9k
Voltas,4.0,2.5k,22,165,8.4k
ZS,3.2,2.5k,179,499,19k
Domino's Pizza,3.9,2.5k,--,113,4k
Bajaj Electricals,3.9,2.5k,9,143,7.5k
Sonalika Tractors,3.6,2.4k,--,157,8.8k
ACT Fibernet,3.9,2.4k,27,155,7.6k
Ajanta Pharma,3.9,2.4k,1,146,8.7k
Star Health & Allied Insurance,3.5,2.4k,13,144,9.4k
Sterlite Technologies,3.8,2.4k,122,175,10k
Sammaan Capital Limited,3.8,2.4k,8,111,6.1k
suzuki motor gujarat,4.2,2.4k,9,215,7.9k
Blue Star,4.1,2.4k,125,189,9.3k
Statestreet HCL Services,3.4,2.4k,--,217,14.3k
Care Health Insurance,3.5,2.4k,48,149,8.5k
Fortis Healthcare,4.0,2.4k,118,170,7.3k
NoBroker,3.1,2.4k,287,272,10.2k
Movate,3.2,2.4k,86,281,14.5k
Alldigi Tech,3.9,2.4k,17,222,7.3k
Paras Hospital,4.1,2.4k,52,95,3k
Tractors and Farm Equipment,4.0,2.4k,14,126,8.2k
DBS Bank,3.8,2.4k,273,187,12.6k
Patanjali Ayurved,3.9,2.4k,--,128,6k
Himalaya Wellness,4.1,2.4k,30,139,6.2k
Foundever,3.5,2.4k,82,171,8.3k
BT Group,3.8,2.4k,13,221,11k
Gallagher,3.7,2.4k,108,255,13.1k
McDonald's,3.9,2.4k,1,146,4.8k
Adani Power,3.8,2.4k,--,284,9.1k
V-Mart,4.1,2.4k,8,177,4.2k
Parle Agro,3.9,2.3k,--,138,6.6k
JCB,3.9,2.3k,--,153,9.4k
Exl India,3.5,2.3k,--,119,13.8k
Axis Direct,3.7,2.3k,48,86,4.7k
ICICI Securities,3.9,2.3k,65,183,9.4k
Capgemini Engineering,3.4,2.3k,78,390,15.1k
IntouchCX,2.7,2.3k,217,220,9.3k
Taj Hotels Resorts and Palaces,4.2,2.3k,22,147,4.6k
Planet Spark,3.9,2.3k,66,553,3.2k
KocharTech,3.7,2.3k,50,79,3.7k
Mahindra Holidays & Resorts,3.5,2.3k,68,119,6k
Datamatics Global Services,3.3,2.3k,140,178,11.5k
Tata Advanced Systems,3.7,2.3k,--,172,12.1k
Emcure Pharmaceuticals,3.7,2.3k,44,119,8.1k
Intellect Design Arena,3.7,2.3k,45,179,13.1k
Mahindra Rural Housing Finance,4.0,2.3k,10,97,4.8k
Zepto,3.6,2.3k,23,398,7.8k
Canara HSBC Life Insurance,3.6,2.3k,4,127,6.3k
Biocon Limited,4.0,2.3k,18,175,11.6k
Laurus Labs,4.3,2.3k,7,141,7k
Cholamandalam MS General Insurance,3.7,2.3k,1,111,5.7k
